Reviewer,Rating,Title,Date,Body,review_key_aspects,aspect_sentiments,adjective_review,ner_review,emotions_review,empathy_review,predicted_sentiment,actual_sentiment,computed_sentiment_score,computed_sentiment
Arpana R.,1.0,Not satisfied,2023-06-26,very unsatisfied with the product i received did not work water inside,product water,"{'product': 'negative', 'water': 'negative'}",unsatisfied,,"[('neutral', 0.35885655879974365), ('disapproval', 0.12004169821739197), ('disappointment', 0.11811584234237671)]","[[{'label': 'sadness', 'score': 0.8132267594337463}, {'label': 'anger', 'score': 0.13282103836536407}, {'label': 'disgust', 'score': 0.017271172255277634}, {'label': 'surprise', 'score': 0.012195568531751633}, {'label': 'fear', 'score': 0.010559448972344398}, {'label': 'neutral', 'score': 0.0070012519136071205}, {'label': 'joy', 'score': 0.006924725137650967}]]",negative,negative,-0.4576,negative
Swumi,1.0,Not strong,2023-05-31,not effective so disappointed,,{},effective disappointed,,"[('disappointment', 0.2529817521572113), ('disapproval', 0.22557727992534637), ('neutral', 0.15373992919921875)]","[[{'label': 'sadness', 'score': 0.8686249256134033}, {'label': 'neutral', 'score': 0.07118014246225357}, {'label': 'surprise', 'score': 0.046489812433719635}, {'label': 'anger', 'score': 0.005384002346545458}, {'label': 'joy', 'score': 0.004467904567718506}, {'label': 'disgust', 'score': 0.0023646182380616665}, {'label': 'fear', 'score': 0.0014886128483340144}]]",negative,negative,-0.7612,negative
Vinod kumar ram,1.0,Not fitting gold flash,2023-05-24,bad,,{},bad,,"[('neutral', 0.18307329714298248), ('disapproval', 0.1178712472319603), ('sadness', 0.11259075999259949)]","[[{'label': 'disgust', 'score': 0.5724433064460754}, {'label': 'sadness', 'score': 0.28889724612236023}, {'label': 'neutral', 'score': 0.06318399310112}, {'label': 'anger', 'score': 0.041947606950998306}, {'label': 'fear', 'score': 0.021219676360487938}, {'label': 'surprise', 'score': 0.006582230795174837}, {'label': 'joy', 'score': 0.0057259234599769115}]]",negative,negative,-0.5423,negative
kamal datta,1.0,Missing 1 piece,2023-05-11,two ordered but open the boxes  one  very unhappy and disappointed,box,{'boxes': 'negative'},unhappy,"('two', 'CARDINAL')","[('sadness', 0.4194091856479645), ('disappointment', 0.32239454984664917), ('neutral', 0.12130989134311676)]","[[{'label': 'sadness', 'score': 0.9682335257530212}, {'label': 'surprise', 'score': 0.015440031886100769}, {'label': 'joy', 'score': 0.008528856560587883}, {'label': 'neutral', 'score': 0.0038830505218356848}, {'label': 'anger', 'score': 0.002959920559078455}, {'label': 'disgust', 'score': 0.0005183949251659214}, {'label': 'fear', 'score': 0.00043615425238385797}]]",negative,negative,-0.8653,negative
Placeholder,1.0,Short supply,2023-05-01,there are only five bottles where as i ordered six customer image,bottle customer image,"{'bottles': 'neutral', 'customer': 'neutral', 'image': 'neutral'}",,"('only five', 'CARDINAL')","[('neutral', 0.48568785190582275), ('realization', 0.08407104015350342), ('disappointment', 0.08029995858669281)]","[[{'label': 'neutral', 'score': 0.669039249420166}, {'label': 'surprise', 'score': 0.2597847878932953}, {'label': 'sadness', 'score': 0.04684025049209595}, {'label': 'joy', 'score': 0.012810847721993923}, {'label': 'anger', 'score': 0.005824413150548935}, {'label': 'disgust', 'score': 0.0030621178448200226}, {'label': 'fear', 'score': 0.002638352569192648}]]",neutral,negative,0.0,neutral
Reena,1.0,Not effective...,2023-04-25,i dont think it worksstill mosquitoes in the room and saw one on the wall just next to it have been using since a month but its totally ineffective,room wall month,"{'worksstill': 'negative', 'room': 'negative', 'wall': 'negative', 'month': 'negative'}",ineffective,"('one', 'CARDINAL')","[('neutral', 0.4598405063152313), ('disapproval', 0.15862080454826355), ('confusion', 0.12264442443847656)]","[[{'label': 'surprise', 'score': 0.6584886908531189}, {'label': 'sadness', 'score': 0.22801929712295532}, {'label': 'neutral', 'score': 0.04795902594923973}, {'label': 'anger', 'score': 0.03311648964881897}, {'label': 'joy', 'score': 0.016298914328217506}, {'label': 'disgust', 'score': 0.008965878747403622}, {'label': 'fear', 'score': 0.007151706609874964}]]",negative,negative,-0.2936,negative
Sachin p.,1.0,लो quality,2023-04-22,मच्छर मरते ही नहीं duplicate था या fir लो quality मार्केट मे मिलने वाला product और amazon से मिलनेवाला प्रॉडक्ट इसमे जमीन असमान का अंतर है हमने बंद kr दिया है amazon से कुछ भि मंगवाना one person found this helpful,product amazon person,"{'था': 'positive', 'मे': 'positive', 'मिलने': 'positive', 'वाला': 'positive', 'product': 'positive', 'person': 'positive'}",प्रॉडक्ट helpful,"('fir', 'CARDINAL')","[('neutral', 0.2596643269062042), ('annoyance', 0.16311015188694), ('disappointment', 0.09954874217510223)]","[[{'label': 'neutral', 'score': 0.6893913149833679}, {'label': 'fear', 'score': 0.07723600417375565}, {'label': 'surprise', 'score': 0.06974821537733078}, {'label': 'anger', 'score': 0.056174859404563904}, {'label': 'joy', 'score': 0.04788774996995926}, {'label': 'sadness', 'score': 0.046065278351306915}, {'label': 'disgust', 'score': 0.013496531173586845}]]",positive,negative,0.6858,positive
Rituparna singh,1.0,Ok,2023-04-22,use krne ke baad pta chalega,krne ke baad chalega,{'chalega': 'neutral'},,"('ke baad', 'PERSON')","[('neutral', 0.8004620671272278), ('approval', 0.039855439215898514), ('admiration', 0.017177602276206017)]","[[{'label': 'disgust', 'score': 0.2546098232269287}, {'label': 'sadness', 'score': 0.24697500467300415}, {'label': 'fear', 'score': 0.17361852526664734}, {'label': 'anger', 'score': 0.1515446901321411}, {'label': 'neutral', 'score': 0.08829469233751297}, {'label': 'joy', 'score': 0.0775986909866333}, {'label': 'surprise', 'score': 0.007358616683632135}]]",neutral,negative,0.0,neutral
Order 2 in no. but received only one,1.0,Worst packing and missing item,2023-04-12,click to play video extreme worst packing and product is also missing and defective,video extreme bad packing product,"{'video': 'negative', 'packing': 'negative', 'product': 'negative'}",extreme worst defective,,"[('annoyance', 0.22199465334415436), ('disgust', 0.198192298412323), ('neutral', 0.16367627680301666)]","[[{'label': 'disgust', 'score': 0.6761689782142639}, {'label': 'anger', 'score': 0.1901971399784088}, {'label': 'sadness', 'score': 0.08085315674543381}, {'label': 'neutral', 'score': 0.03544836491346359}, {'label': 'surprise', 'score': 0.01004368532449007}, {'label': 'fear', 'score': 0.0052833412773907185}, {'label': 'joy', 'score': 0.0020053116604685783}]]",negative,negative,-0.7783,negative
Subhash k.,1.0,Very very bad,2023-04-12,very bad product,bad product,{'product': 'negative'},bad,,"[('neutral', 0.2211420238018036), ('disapproval', 0.18262581527233124), ('disappointment', 0.14838992059230804)]","[[{'label': 'disgust', 'score': 0.8154277205467224}, {'label': 'sadness', 'score': 0.07522938400506973}, {'label': 'anger', 'score': 0.05777715891599655}, {'label': 'neutral', 'score': 0.02264481782913208}, {'label': 'fear', 'score': 0.021790025755763054}, {'label': 'surprise', 'score': 0.005417624954134226}, {'label': 'joy', 'score': 0.0017132520442828536}]]",negative,negative,-0.5849,negative
Patrachouhan,1.0,Don't buy,2023-04-06,its for old model stand,old model stand,"{'model': 'neutral', 'stand': 'neutral'}",old,,"[('neutral', 0.6497933864593506), ('approval', 0.1690853387117386), ('admiration', 0.044890981167554855)]","[[{'label': 'neutral', 'score': 0.5040798783302307}, {'label': 'surprise', 'score': 0.25595149397850037}, {'label': 'sadness', 'score': 0.2062332034111023}, {'label': 'anger', 'score': 0.013513278216123581}, {'label': 'disgust', 'score': 0.008948075585067272}, {'label': 'joy', 'score': 0.007188763469457626}, {'label': 'fear', 'score': 0.004085342865437269}]]",neutral,negative,0.0,neutral
Gagan,1.0,Very very poor quality,2023-04-03,poor customer image,poor customer image,"{'customer': 'negative', 'image': 'negative'}",poor,,"[('sadness', 0.37208500504493713), ('neutral', 0.20312410593032837), ('disappointment', 0.16558386385440826)]","[[{'label': 'neutral', 'score': 0.4374520778656006}, {'label': 'disgust', 'score': 0.2742915749549866}, {'label': 'sadness', 'score': 0.20776119828224182}, {'label': 'anger', 'score': 0.039935000240802765}, {'label': 'surprise', 'score': 0.019514815881848335}, {'label': 'fear', 'score': 0.014991208910942078}, {'label': 'joy', 'score': 0.00605408800765872}]]",negative,negative,-0.4767,negative
Anto,1.0,Not working,2023-03-27,better to purchase these items from locals shops,item local shop,"{'items': 'positive', 'locals': 'positive', 'shops': 'positive'}",better,,"[('neutral', 0.3962063193321228), ('approval', 0.23659595847129822), ('optimism', 0.1447698175907135)]","[[{'label': 'joy', 'score': 0.6175466179847717}, {'label': 'neutral', 'score': 0.2799525558948517}, {'label': 'surprise', 'score': 0.04405246675014496}, {'label': 'anger', 'score': 0.031676072627305984}, {'label': 'sadness', 'score': 0.014080277644097805}, {'label': 'disgust', 'score': 0.011290445923805237}, {'label': 'fear', 'score': 0.001401594141498208}]]",positive,negative,0.4404,positive
HARVINDER SINGH,1.0,I got only 4 refill pack,2023-03-14,i got only 4 pcs in box instead of 6 pcs customer image,pc box pc customer image,"{'pcs': 'neutral', 'customer': 'neutral', 'image': 'neutral'}",,"('only 4', 'CARDINAL')","[('neutral', 0.4733109772205353), ('disappointment', 0.1132977157831192), ('realization', 0.08282654732465744)]","[[{'label': 'sadness', 'score': 0.48373717069625854}, {'label': 'surprise', 'score': 0.3668641448020935}, {'label': 'neutral', 'score': 0.12048793584108353}, {'label': 'joy', 'score': 0.015153177082538605}, {'label': 'anger', 'score': 0.008080408908426762}, {'label': 'fear', 'score': 0.0031990092247724533}, {'label': 'disgust', 'score': 0.002478157402947545}]]",neutral,negative,0.0,neutral
shafihussaini,1.0,Waste of money,2023-03-09,very bad smell it’s make you vomite,bad smell,{'smell': 'negative'},bad vomite,,"[('annoyance', 0.19492800533771515), ('anger', 0.17505116760730743), ('disapproval', 0.17011141777038574)]","[[{'label': 'disgust', 'score': 0.9391641020774841}, {'label': 'fear', 'score': 0.021208884194493294}, {'label': 'sadness', 'score': 0.017920630052685738}, {'label': 'neutral', 'score': 0.010578671470284462}, {'label': 'anger', 'score': 0.007680885493755341}, {'label': 'surprise', 'score': 0.002486075973138213}, {'label': 'joy', 'score': 0.0009605571394786239}]]",negative,negative,-0.5849,negative
S8d,1.0,Worst quality,2023-03-09,very poor quality is it liquid or water,poor quality,"{'quality': 'negative', 'water': 'negative'}",poor liquid,,"[('sadness', 0.24322549998760223), ('neutral', 0.16973304748535156), ('disappointment', 0.1595609039068222)]","[[{'label': 'disgust', 'score': 0.6133812665939331}, {'label': 'neutral', 'score': 0.2630981504917145}, {'label': 'sadness', 'score': 0.06424398720264435}, {'label': 'anger', 'score': 0.026726966723799706}, {'label': 'fear', 'score': 0.0166474636644125}, {'label': 'surprise', 'score': 0.01358609739691019}, {'label': 'joy', 'score': 0.0023160898126661777}]]",negative,negative,-0.5256,negative
Farzana n.,1.0,I speechless,2023-03-04,i recieved liquid of good night ya water,liquid good night ya water,"{'liquid': 'positive', 'night': 'positive', 'water': 'positive'}",good,,"[('admiration', 0.25370314717292786), ('neutral', 0.20976801216602325), ('approval', 0.11739419400691986)]","[[{'label': 'joy', 'score': 0.9670642018318176}, {'label': 'neutral', 'score': 0.015317026525735855}, {'label': 'surprise', 'score': 0.00742743443697691}, {'label': 'sadness', 'score': 0.006493131164461374}, {'label': 'anger', 'score': 0.0024541609454900026}, {'label': 'fear', 'score': 0.0007411641418002546}, {'label': 'disgust', 'score': 0.000502793351188302}]]",positive,negative,0.4404,positive
Ravi Ranjan,1.0,Received packet contained lesser no. of items,2023-02-28,i ordered pack of six refils of good knight power active plus when i received the consignment and opened it i found only five refils,pack refil good knight power consignment refil,"{'pack': 'positive', 'refils': 'positive', 'knight': 'positive', 'power': 'positive', 'consignment': 'positive'}",good active,"('six', 'CARDINAL')","[('neutral', 0.3985908031463623), ('admiration', 0.14921702444553375), ('approval', 0.1487124264240265)]","[[{'label': 'surprise', 'score': 0.617035448551178}, {'label': 'sadness', 'score': 0.2608550190925598}, {'label': 'neutral', 'score': 0.06692542135715485}, {'label': 'joy', 'score': 0.029126793146133423}, {'label': 'anger', 'score': 0.01880241185426712}, {'label': 'fear', 'score': 0.00482353288680315}, {'label': 'disgust', 'score': 0.0024313624016940594}]]",positive,negative,0.6808,positive
Harish s wadwa,1.0,The products are damaged don't buy this item online,2023-02-27,click to play video,video,{'video': 'positive'},,,"[('neutral', 0.7452893257141113), ('approval', 0.04894367232918739), ('annoyance', 0.022250337526202202)]","[[{'label': 'neutral', 'score': 0.8845230937004089}, {'label': 'surprise', 'score': 0.07417725771665573}, {'label': 'joy', 'score': 0.0169671680778265}, {'label': 'sadness', 'score': 0.011271108873188496}, {'label': 'anger', 'score': 0.007863529026508331}, {'label': 'disgust', 'score': 0.0028749273624271154}, {'label': 'fear', 'score': 0.0023228779900819063}]]",positive,negative,0.34,positive
Amazon Customer,1.0,Feck,2023-02-19,bekar,bekar,{},,,"[('neutral', 0.47565749287605286), ('caring', 0.2406679391860962), ('optimism', 0.07087867707014084)]","[[{'label': 'neutral', 'score': 0.8298804759979248}, {'label': 'surprise', 'score': 0.08106733113527298}, {'label': 'sadness', 'score': 0.04204639047384262}, {'label': 'joy', 'score': 0.013836868107318878}, {'label': 'anger', 'score': 0.012387147173285484}, {'label': 'disgust', 'score': 0.011774557642638683}, {'label': 'fear', 'score': 0.009007168002426624}]]",neutral,negative,0.0,neutral
Fahim hashmi,1.0,Worst of Money. Please don't buy,2023-02-11,dear seller please sell the original product its my first review for any product worst item ive ever bought from amazon,dear seller original product review product bad item amazon,"{'seller': 'positive', 'product': 'positive', 'review': 'positive', 'item': 'positive', 'amazon': 'positive'}",dear original first worst,"('first', 'ORDINAL')","[('neutral', 0.2251138836145401), ('annoyance', 0.21696478128433228), ('disappointment', 0.1436798870563507)]","[[{'label': 'sadness', 'score': 0.7229940891265869}, {'label': 'anger', 'score': 0.1472931057214737}, {'label': 'fear', 'score': 0.03548222780227661}, {'label': 'surprise', 'score': 0.033457200974226}, {'label': 'neutral', 'score': 0.03237994760274887}, {'label': 'disgust', 'score': 0.017333758994936943}, {'label': 'joy', 'score': 0.011059703305363655}]]",positive,negative,0.4215,positive
Tanmay,1.0,Item received with one missing cartridge,2023-02-02,customer image,customer image,"{'customer': 'neutral', 'image': 'neutral'}",,,"[('neutral', 0.35582995414733887), ('annoyance', 0.1655159294605255), ('anger', 0.1499333679676056)]","[[{'label': 'neutral', 'score': 0.951881468296051}, {'label': 'surprise', 'score': 0.024195119738578796}, {'label': 'sadness', 'score': 0.00872004870325327}, {'label': 'disgust', 'score': 0.005991506390273571}, {'label': 'anger', 'score': 0.004599509295076132}, {'label': 'joy', 'score': 0.002748436527326703}, {'label': 'fear', 'score': 0.0018639162881299853}]]",neutral,negative,0.0,neutral
